epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.349,1.7449,2.13371,1.63349,0.40622,0.36847,0.313,0.13712,1.53634,10.2239,1.42753,0.0670383,0.000332946,0.000332946
2,505.812,1.69409,1.84637,1.58039,0.48864,0.45673,0.4286,0.18874,1.50415,9.61438,1.38472,0.0340251,0.000653087,0.000653087
3,747.954,1.68573,1.80338,1.57172,0.47382,0.4249,0.42255,0.19119,1.49077,9.65048,1.35193,0.000998743,0.000960028,0.000960028
4,989.512,1.65394,1.72064,1.53782,0.54357,0.45317,0.46417,0.22387,1.4945,3.58699,1.37805,0.0009406,0.0009406,0.0009406
5,1230.95,1.60832,1.63706,1.51444,0.55419,0.5077,0.52304,0.24923,1.44474,4.03556,1.32698,0.0009208,0.0009208,0.0009208
6,1472.9,1.58303,1.59197,1.49995,0.56412,0.50369,0.52743,0.26209,1.40023,4.21091,1.28178,0.000901,0.000901,0.000901
7,1715.96,1.56904,1.559,1.48466,0.59024,0.50284,0.51997,0.25721,1.37823,3.24586,1.25843,0.0008812,0.0008812,0.0008812
8,1957.88,1.55853,1.53609,1.47658,0.61869,0.52254,0.55396,0.28429,1.3376,3.11848,1.24231,0.0008614,0.0008614,0.0008614
9,2200.74,1.53757,1.48975,1.45342,0.63909,0.56795,0.6057,0.31434,1.32576,3.94897,1.20898,0.0008416,0.0008416,0.0008416
10,2444.12,1.52476,1.47309,1.45103,0.63525,0.54338,0.5965,0.31996,1.31031,2.8398,1.20752,0.0008218,0.0008218,0.0008218
11,2688.17,1.50853,1.43436,1.43346,0.65579,0.57733,0.62594,0.32885,1.29025,3.64306,1.18108,0.000802,0.000802,0.000802
12,2930.55,1.4964,1.41303,1.42509,0.66084,0.58819,0.64369,0.34665,1.30652,2.98845,1.18308,0.0007822,0.0007822,0.0007822
13,3173.33,1.48574,1.3964,1.42313,0.65208,0.59387,0.64178,0.34212,1.29512,2.99028,1.18399,0.0007624,0.0007624,0.0007624
14,3416.68,1.48836,1.39424,1.41795,0.64644,0.5869,0.63482,0.34582,1.25289,3.49682,1.16257,0.0007426,0.0007426,0.0007426
15,3660.24,1.46797,1.36725,1.40198,0.64692,0.61193,0.65647,0.35548,1.26373,5.058,1.16616,0.0007228,0.0007228,0.0007228
16,3904.34,1.47127,1.34339,1.3972,0.65818,0.58523,0.63312,0.34382,1.29104,2.51523,1.19277,0.000703,0.000703,0.000703
17,4148.1,1.44827,1.32412,1.38576,0.67857,0.6034,0.66132,0.36262,1.26525,2.99112,1.16676,0.0006832,0.0006832,0.0006832
18,4392.64,1.44495,1.30781,1.38544,0.66629,0.6252,0.67512,0.37274,1.23425,2.79264,1.13918,0.0006634,0.0006634,0.0006634
19,4634.86,1.44855,1.30642,1.38888,0.68175,0.62333,0.68265,0.37537,1.22431,2.59112,1.12659,0.0006436,0.0006436,0.0006436
20,4878.28,1.4251,1.28537,1.36975,0.692,0.61977,0.68595,0.37709,1.24976,2.14633,1.15034,0.0006238,0.0006238,0.0006238
21,5121.87,1.4211,1.27321,1.37927,0.67634,0.62629,0.67904,0.37602,1.23831,2.11143,1.14907,0.000604,0.000604,0.000604
22,5366.34,1.42165,1.25484,1.36653,0.69249,0.63269,0.69572,0.38272,1.2452,2.21656,1.15155,0.0005842,0.0005842,0.0005842
23,5610.83,1.40314,1.24599,1.35395,0.69235,0.63784,0.69601,0.39608,1.19176,2.09038,1.10267,0.0005644,0.0005644,0.0005644
24,5854.12,1.40985,1.22738,1.35209,0.68089,0.65643,0.70088,0.39534,1.20711,2.11954,1.11422,0.0005446,0.0005446,0.0005446
25,6097.98,1.39221,1.20902,1.34938,0.70812,0.64141,0.70967,0.40293,1.19218,1.85405,1.09862,0.0005248,0.0005248,0.0005248
26,6342.81,1.39182,1.2071,1.34376,0.71262,0.63876,0.70694,0.4022,1.19389,2.11304,1.09796,0.000505,0.000505,0.000505
