epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,861.458,1.57532,1.3718,0.01269,0.6831,0.57259,0.62775,0.31108,1.44868,1.62424,0.02,0.000332946,0.000332946,0.0670383
2,1733.64,1.53605,1.34402,0.01235,0.69414,0.60535,0.66363,0.35729,1.3161,1.20883,0.01612,0.000653087,0.000653087,0.0340251
3,2606.72,1.51907,1.34891,0.01209,0.68194,0.61907,0.66653,0.36055,1.30318,1.45224,0.01605,0.000960028,0.000960028,0.000998743
4,3491.84,1.51093,1.3358,0.01214,0.70299,0.62231,0.6725,0.36351,1.29404,1.20922,0.0155,0.0009406,0.0009406,0.0009406
5,4392.54,1.51933,1.33357,0.01204,0.69221,0.61893,0.66435,0.35248,1.34237,1.30784,0.01668,0.0009208,0.0009208,0.0009208
6,5290.99,1.51345,1.31435,0.01201,0.69621,0.62961,0.68211,0.36746,1.29807,1.38816,0.01565,0.000901,0.000901,0.000901
7,6184.23,1.50497,1.325,0.01187,0.69695,0.60779,0.66307,0.35549,1.32923,1.3237,0.01621,0.0008812,0.0008812,0.0008812
8,7053.41,1.50864,1.32517,0.01207,0.70223,0.60175,0.66694,0.36198,1.31521,1.25626,0.01602,0.0008614,0.0008614,0.0008614
9,7919.65,1.49627,1.31751,0.01182,0.69765,0.62629,0.6747,0.36577,1.28671,1.24259,0.01541,0.0008416,0.0008416,0.0008416
10,8785.28,1.49287,1.29532,0.01172,0.6815,0.63577,0.6776,0.36899,1.2981,1.31206,0.0158,0.0008218,0.0008218,0.0008218
11,9647.05,1.49507,1.27837,0.01171,0.71725,0.63274,0.68101,0.36811,1.3177,1.36854,0.01599,0.000802,0.000802,0.000802
12,10513.2,1.48035,1.26941,0.01166,0.70963,0.62384,0.68617,0.37447,1.29625,1.21327,0.0157,0.0007822,0.0007822,0.0007822
13,11377.8,1.49032,1.24482,0.0117,0.71935,0.63134,0.68871,0.37989,1.29715,1.24614,0.01539,0.0007624,0.0007624,0.0007624
14,12242.2,1.48017,1.23726,0.01152,0.71238,0.6339,0.69627,0.38555,1.30466,1.21865,0.01573,0.0007426,0.0007426,0.0007426
