epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1135.39,1.81822,2.44772,0.01607,0.41541,0.33993,0.30661,0.13542,1.48458,2.88122,0.02011,0.000332946,0.000332946,0.0670383
2,2247.79,1.76287,2.21378,0.01547,0.46805,0.41962,0.40207,0.18962,1.39859,2.45518,0.01819,0.000653087,0.000653087,0.0340251
3,3362.72,1.7497,2.07883,0.01512,0.53249,0.47779,0.46054,0.21367,1.43085,2.4949,0.01884,0.000960028,0.000960028,0.000998743
4,4456.6,1.71734,1.94965,0.0149,0.53779,0.50653,0.50172,0.23975,1.39376,2.18403,0.01792,0.0009406,0.0009406,0.0009406
5,5542.05,1.71149,1.88482,0.01449,0.55382,0.51426,0.52158,0.25595,1.40955,2.24162,0.01798,0.0009208,0.0009208,0.0009208
6,6609.63,1.69642,1.80706,0.01432,0.58728,0.53095,0.5564,0.2824,1.38831,2.12504,0.01745,0.000901,0.000901,0.000901
7,7671.61,1.68094,1.77905,0.01414,0.58067,0.54392,0.56325,0.28574,1.37677,1.97826,0.01726,0.0008812,0.0008812,0.0008812
8,8759.31,1.68494,1.74354,0.01429,0.59264,0.55199,0.5782,0.30151,1.34258,2.01429,0.01693,0.0008614,0.0008614,0.0008614
9,9849.05,1.66441,1.70751,0.0139,0.59786,0.59226,0.59324,0.30187,1.37195,1.92526,0.01691,0.0008416,0.0008416,0.0008416
10,10931.5,1.65123,1.64839,0.01375,0.63144,0.55583,0.59373,0.30257,1.37187,1.94496,0.01749,0.0008218,0.0008218,0.0008218
11,12010.1,1.6453,1.63392,0.01357,0.61526,0.58884,0.61591,0.32581,1.35453,1.76805,0.01669,0.000802,0.000802,0.000802
12,13086.1,1.62692,1.61015,0.01347,0.65891,0.58635,0.63717,0.33711,1.33403,1.45594,0.01615,0.0007822,0.0007822,0.0007822
13,14157.3,1.62888,1.57922,0.01328,0.63912,0.59168,0.63289,0.33315,1.35385,1.63487,0.01629,0.0007624,0.0007624,0.0007624
14,15233.5,1.62481,1.54214,0.01327,0.64751,0.60243,0.64054,0.34617,1.30828,1.65983,0.0159,0.0007426,0.0007426,0.0007426
15,16307,1.60686,1.54222,0.01299,0.65693,0.59265,0.63762,0.34616,1.31935,1.49298,0.01583,0.0007228,0.0007228,0.0007228
16,17385.4,1.59875,1.53842,0.01285,0.67983,0.58724,0.65181,0.35418,1.29745,1.38438,0.01521,0.000703,0.000703,0.000703
17,18472.4,1.60369,1.5152,0.01298,0.67309,0.60183,0.65741,0.35364,1.31367,1.44225,0.01566,0.0006832,0.0006832,0.0006832
18,19556.3,1.58729,1.49197,0.01293,0.68624,0.62119,0.6722,0.37083,1.29484,1.40365,0.01517,0.0006634,0.0006634,0.0006634
19,20636.9,1.58945,1.45797,0.01279,0.67879,0.61837,0.66959,0.366,1.30064,1.31434,0.01539,0.0006436,0.0006436,0.0006436
20,21712.3,1.57531,1.4448,0.01257,0.68451,0.61691,0.67647,0.3735,1.27934,1.35382,0.01497,0.0006238,0.0006238,0.0006238
21,22785.7,1.563,1.4481,0.01248,0.68848,0.63972,0.69022,0.38755,1.27311,1.30539,0.01472,0.000604,0.000604,0.000604
22,23919.2,1.56696,1.42493,0.01232,0.69205,0.62914,0.69184,0.38648,1.27089,1.3866,0.01459,0.0005842,0.0005842,0.0005842
23,25015.8,1.54541,1.40488,0.0122,0.69623,0.64097,0.69432,0.39182,1.25634,1.2444,0.01424,0.0005644,0.0005644,0.0005644
24,26136.3,1.53936,1.38834,0.01218,0.7075,0.62845,0.69717,0.39397,1.26308,1.35234,0.0146,0.0005446,0.0005446,0.0005446
25,27191.8,1.54997,1.37355,0.01224,0.71174,0.63768,0.70235,0.39373,1.26176,1.30919,0.0146,0.0005248,0.0005248,0.0005248
26,28237.7,1.54176,1.35916,0.01216,0.70026,0.64675,0.70376,0.39667,1.26246,1.34286,0.01448,0.000505,0.000505,0.000505
27,29287.3,1.53326,1.3531,0.01211,0.71672,0.63985,0.7085,0.40222,1.25998,1.22061,0.01438,0.0004852,0.0004852,0.0004852
28,30341.6,1.53641,1.35106,0.01206,0.71108,0.65622,0.71817,0.40865,1.2598,1.20964,0.01455,0.0004654,0.0004654,0.0004654
29,31384.8,1.50949,1.32464,0.01179,0.71488,0.64634,0.71607,0.40567,1.24751,1.20863,0.01426,0.0004456,0.0004456,0.0004456
30,32434.5,1.51368,1.29699,0.01187,0.72284,0.65326,0.72098,0.41306,1.25715,1.21372,0.01439,0.0004258,0.0004258,0.0004258
31,33488.4,1.50611,1.29625,0.01169,0.72153,0.64846,0.71522,0.4093,1.24223,1.15524,0.01412,0.000406,0.000406,0.000406
32,34535,1.49363,1.27792,0.01171,0.71301,0.65578,0.72489,0.41426,1.23538,1.14041,0.01402,0.0003862,0.0003862,0.0003862
33,35583.6,1.49303,1.26173,0.01174,0.71854,0.66657,0.72926,0.41618,1.24053,1.13622,0.01411,0.0003664,0.0003664,0.0003664
34,36635.5,1.49262,1.24636,0.01138,0.72385,0.65843,0.72581,0.4143,1.23616,1.11807,0.014,0.0003466,0.0003466,0.0003466
35,37695.6,1.48851,1.25336,0.0115,0.73022,0.66149,0.73204,0.42128,1.23126,1.11035,0.01384,0.0003268,0.0003268,0.0003268
36,38745.2,1.47527,1.23549,0.01126,0.71457,0.67012,0.73277,0.42178,1.22494,1.11978,0.01376,0.000307,0.000307,0.000307
37,39790.4,1.4796,1.23515,0.01125,0.72107,0.6671,0.73203,0.423,1.22801,1.0944,0.01379,0.0002872,0.0002872,0.0002872
38,40834.7,1.47551,1.21355,0.01112,0.74113,0.65887,0.73317,0.42137,1.24167,1.11135,0.01407,0.0002674,0.0002674,0.0002674
39,41886.1,1.45283,1.18862,0.01101,0.74208,0.66133,0.73891,0.42505,1.22276,1.09728,0.01383,0.0002476,0.0002476,0.0002476
40,42936.1,1.45268,1.19225,0.01103,0.73743,0.66897,0.73827,0.42465,1.22773,1.09278,0.01379,0.0002278,0.0002278,0.0002278
41,44014.6,1.47415,1.09569,0.01292,0.7384,0.66773,0.73414,0.42281,1.23569,1.0928,0.0139,0.000208,0.000208,0.000208
42,45065.1,1.46631,1.0603,0.01295,0.73189,0.66939,0.73568,0.42346,1.23186,1.07027,0.01383,0.0001882,0.0001882,0.0001882
43,46123.1,1.44958,1.05024,0.01274,0.73603,0.66877,0.73639,0.42318,1.22657,1.05528,0.01369,0.0001684,0.0001684,0.0001684
44,47180.5,1.4372,1.02582,0.01246,0.73518,0.67692,0.73826,0.4251,1.22583,1.03519,0.01365,0.0001486,0.0001486,0.0001486
45,48228,1.42074,1.01472,0.01218,0.74372,0.67329,0.7407,0.42679,1.24608,1.06261,0.014,0.0001288,0.0001288,0.0001288
46,49285.3,1.42973,0.99434,0.01218,0.74236,0.67592,0.74154,0.42659,1.25221,1.05398,0.01418,0.000109,0.000109,0.000109
47,50342.5,1.42319,0.99087,0.01209,0.73895,0.68169,0.74285,0.42708,1.25561,1.04821,0.01422,8.92e-05,8.92e-05,8.92e-05
48,51397.3,1.41311,0.97235,0.01196,0.74009,0.68322,0.74188,0.42707,1.25089,1.04838,0.01416,6.94e-05,6.94e-05,6.94e-05
49,52433.1,1.40808,0.97018,0.01187,0.73836,0.68548,0.7437,0.42789,1.25143,1.04639,0.01412,4.96e-05,4.96e-05,4.96e-05
50,53475.4,1.39834,0.95435,0.01179,0.74557,0.68085,0.74401,0.42866,1.24826,1.04885,0.0141,2.98e-05,2.98e-05,2.98e-05
