epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.175,1.7151,2.14984,1.59752,0.41891,0.38651,0.34147,0.14854,1.54792,5.45084,1.39378,0.0670383,0.000332946,0.000332946
2,464.026,1.68775,1.84609,1.56524,0.47015,0.40555,0.38916,0.17144,1.56339,3.3309,1.42063,0.0340251,0.000653087,0.000653087
3,688.224,1.67525,1.80344,1.56447,0.5277,0.45662,0.47109,0.21918,1.4697,7.97173,1.33436,0.000998743,0.000960028,0.000960028
4,913.373,1.63709,1.70747,1.52405,0.55216,0.49821,0.50024,0.24192,1.44122,3.67331,1.32662,0.0009406,0.0009406,0.0009406
5,1138.26,1.59531,1.63051,1.49474,0.55455,0.51943,0.53061,0.26623,1.43007,2.86428,1.28092,0.0009208,0.0009208,0.0009208
6,1363.65,1.56819,1.58023,1.47734,0.60107,0.54342,0.56732,0.28523,1.3902,4.15704,1.24441,0.000901,0.000901,0.000901
7,1589.16,1.56088,1.55559,1.46979,0.60365,0.54958,0.58902,0.29832,1.37063,5.29439,1.25446,0.0008812,0.0008812,0.0008812
8,1819.1,1.54126,1.51213,1.45248,0.56947,0.51761,0.54712,0.27704,1.39498,40.3072,1.26162,0.0008614,0.0008614,0.0008614
9,2067.28,1.5212,1.52247,1.43454,0.19444,0.15905,0.13632,0.05571,2.14889,1305.37,1.91872,0.0008416,0.0008416,0.0008416
10,2296.17,1.55897,1.61839,1.45559,0.43223,0.31529,0.3094,0.13651,1.66633,3.96382,1.55391,0.0008218,0.0008218,0.0008218
11,2524.52,1.57832,1.68991,1.45683,0.49329,0.39538,0.39487,0.17721,1.57195,7.72386,1.44458,0.000802,0.000802,0.000802
12,2753.66,1.57666,1.72073,1.44904,0.56566,0.47654,0.49471,0.23524,1.42159,4.15446,1.25007,0.0007822,0.0007822,0.0007822
13,2981.25,1.57796,1.74462,1.4529,0.50837,0.41391,0.41811,0.20229,1.44378,2.19191,1.24522,0.0007624,0.0007624,0.0007624
14,3210.12,1.59213,1.77708,1.45632,0.54908,0.438,0.44459,0.20873,1.56009,5.53076,1.35493,0.0007426,0.0007426,0.0007426
15,3440.67,1.57663,1.79858,1.44671,0.53754,0.47065,0.47678,0.24161,1.3897,19.9174,1.23324,0.0007228,0.0007228,0.0007228
16,3669.07,1.58675,1.83174,1.44582,0.51185,0.43385,0.42477,0.20289,1.41979,8.48621,1.27356,0.000703,0.000703,0.000703
17,3898.88,1.55738,1.74951,1.43545,0.54817,0.43508,0.44777,0.21336,1.44159,5.71008,1.24505,0.0006832,0.0006832,0.0006832
18,4129.03,1.55734,1.74544,1.43488,0.44649,0.38837,0.36016,0.16714,1.56304,9.3227,1.4671,0.0006634,0.0006634,0.0006634
19,4358.26,1.54655,1.7139,1.43741,0.61592,0.51728,0.55564,0.28564,1.35414,3.04318,1.18438,0.0006436,0.0006436,0.0006436
20,4586.77,1.5359,1.68253,1.41772,0.5725,0.44864,0.48978,0.26185,1.33582,2.37122,1.1828,0.0006238,0.0006238,0.0006238
21,4816.27,1.53352,1.73234,1.43366,0.57991,0.40399,0.44289,0.22637,1.41927,2.78224,1.27658,0.000604,0.000604,0.000604
22,5045.05,1.52695,1.68101,1.41745,0.55323,0.41563,0.44213,0.22814,1.3857,3.88371,1.23353,0.0005842,0.0005842,0.0005842
